Node,Pressure,Enthalpy,Mass Flow Rate,CrossFlow
1,12262441.060502186,1100.7380609552438,0.33130121051132094,6.371112590094745e-05
2,12262405.540682813,1100.776122195216,0.3313014377222341,5.8027911280920385e-05
3,12262370.03626553,1100.814183703442,0.3313017719144768,4.938297889648987e-05
4,12262334.553736396,1100.8522454687388,0.3313021835890242,4.119042277778141e-05
5,12262299.086923225,1100.8903074731634,0.3313027039934872,2.9912845798621984e-05
6,12262263.642303789,1100.928369706617,0.3313033035914153,1.8959440818294698e-05
7,12262228.21369689,1100.966432149719,0.3313040135895606,4.787607316455888e-06
8,12262192.807570552,1101.004494793487,0.33130480440671695,-9.199002080535215e-06
9,12262157.417733103,1101.0425576171383,0.3313057071991105,-2.6550557279198192e-05
10,12262122.050640902,1101.0806206126013,0.3313066930577148,-4.386597719191386e-05
11,12262086.700247116,1101.118683758127,0.33130779165951413,-6.473028031688983e-05
12,12262051.372686354,1101.1567470466487,0.331308974734428,-8.56957055629132e-05
13,12262016.062049625,1101.1948104551714,0.3313102718933071,-0.0001103795615681503
14,12261980.774456393,1101.2328739778043,0.33131165479481395,-0.00013534113765098206
15,12261945.503981406,1101.270937590359,0.33131315297344777,-0.00016420463227476918
16,12261910.256726785,1101.309001288177,0.3313147380059036,-0.00019353693914834957
17,12261875.02674873,1101.347065045937,0.33131643933908134,-0.0002269696960437676
18,12261839.820129627,1101.3851288602762,0.3313182284559277,-0.0002610779949278344
19,12261804.630904598,1101.423192704808,0.33132013470337424,-0.00029950150828903275
20,12261769.465133645,1101.4612565775374,0.33132212945766837,-0.00033882416544734093
21,12261734.316828048,1101.4993204510897,0.33132424195218313,-0.0003826943173724289
22,12261699.192022521,1101.5373843249195,0.331326443442244,-0.00042770541691980945
23,12261664.084701473,1101.5754481707497,0.3313287630327442,-0.00047751519107927157
24,12261629.00087115,1101.613511989576,0.33133117184247907,-0.0005287273538574185
25,12261593.934485747,1101.6515757523166,0.3313336988314912,-0.0005850097631659963
26,12261558.891519554,1101.6896394616106,0.33133631496492844,-0.0006429771868326593
27,12261523.865892928,1101.7277030876805,0.3313390490400375,-0.0007063084296753307
28,12261488.863544362,1101.7657666349241,0.33134187184955916,-0.0007716301666209073
29,12261453.878356382,1101.8038300729904,0.3313448120082809,-0.0008426330330220011
30,12261418.916227523,1101.8418934081647,0.3313478401159926,-0.0009159565271103493
31,12261383.970998088,1101.879956609658,0.33135098458349127,-0.0009953040712908968
32,12261349.04852208,1101.9180196857867,0.33135421579512686,-0.0010773289730914403
33,12261314.142592814,1101.9560826054771,0.33135756193414545,-0.001165748475709276
34,12261279.259014739,1101.9941453792362,0.33136099314485273,-0.0012572307575740502
35,12261244.39152897,1102.0322079758746,0.3313645373571734,-0.0013555080005249484
36,12261209.54588494,1102.0702704082682,0.3313681644484676,-0.0014572643955119207
37,12261174.715765849,1102.1083326453002,0.33137190206716566,-0.001566248272766185
38,12261139.90686013,1102.1463947024138,0.33137571979427854,-0.001679161065020544
39,12261105.112786833,1102.184456548774,0.3313796449659566,-0.0017997685589931196
40,12261070.339166883,1102.2225182026116,0.3313836468347413,-0.0019247907517048577
41,12261035.579548366,1102.2605796336054,0.33138775239087714,-0.002058012301465506
42,12261000.839477578,1102.2986408630168,0.3313919305233603,-0.0021961731942649735
43,12260966.11242422,1102.3367018612964,0.33139620783981755,-0.0023430784888003615
44,12260931.40385217,1102.374762653007,0.3314005528274099,-0.0024954896955438352
45,12260896.707144659,1102.4128232096562,0.33140499167107923,-0.002657233927242449
46,12260862.027674662,1102.4508835594065,0.33140949241437095,-0.002825095871874177
47,12260827.358730104,1102.488943675138,0.3314140807758275,-0.00300292648412745
48,12260792.705583826,1102.5270035889444,0.3314187243098059,-0.003187535410889678
49,12260758.061418813,1102.5650632754266,0.33142344822077185,-0.003382799382633256
50,12260723.431397684,1102.603122770975,0.33142821952419543,-0.003585554925440285
51,12260688.808588,1102.6411820522974,0.3314330628584833,-0.0037997066352453263
52,12260654.198031185,1102.6792411604843,0.33143794464604237,-0.0040221199872321435
