Node Number,Pressure,Enthalpy,CrossFlow,MassFlow
0,10999973.56252276,969.1256453476972,0.0006166871228772497,0.051513731395471246
1,10999973.306041671,969.2512941777018,0.000614275262356367,0.05151230352159826
2,10999973.049521487,969.3769465065449,0.0006123390293392635,0.05151086879068832
3,10999972.792965136,969.502602352232,0.0006097525324856246,0.05150942659049679
4,10999972.53636839,969.6282617318204,0.0006076403586675837,0.051507977314146476
5,10999972.279734043,969.7539246638081,0.0006048768382346007,0.05150652036560068
6,10999972.023057982,969.8795911657862,0.0006025863185995832,0.051505056118549705
7,10999971.766342865,970.0052612567525,0.0005996433642963389,0.05150358399340249
8,10999971.509584703,970.1309349548404,0.0005971720640484511,0.051502104344142124
9,10999971.252786009,970.2566122795546,0.0005940472406425684,0.05150061660787369
10,10999970.99594291,970.3822932495787,0.0005913927059864819,0.051499121118588696
11,10999970.739057783,970.5079778849316,0.000588083553642778,0.051497617330341146
12,10999970.482126882,970.6336662048558,0.0005852433042909867,0.05149610555684277
13,10999970.225152442,970.7593582298921,0.0005817473411463367,0.05149458526936615
14,10999969.968130836,970.8850539798498,0.0005787188721472967,0.051493056761041434
15,10999969.711064152,971.0107534757991,0.0005750335886803024,0.05149151952063062
16,10999969.45394889,971.1364567381247,0.0005718143718723357,0.051489973820371474
17,10999969.196786994,971.2621637884339,0.0005679372357125909,0.051488419166801
18,10999968.939575091,971.3878746476952,0.0005645247152099721,0.051486855810945094
19,10999968.682314979,971.5135893380606,0.0005604531684880444,0.05148528327741309
